level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	503	216	1	52	95.0	 
5	1	2	1	1	1	529	289	26	16	64.485161	~
5	1	3	1	1	1	1053	270	180	30	93.294586	Automatic
5	1	3	1	1	2	1246	269	132	31	92.298927	Callable
5	1	3	1	1	3	1391	270	88	40	96.413986	Swap
5	1	3	1	1	4	1493	269	112	30	96.039421	Linked
5	1	3	1	1	5	1618	272	28	28	96.748238	to
5	1	3	1	1	6	1661	269	48	30	97.003693	the
5	1	3	1	1	7	1720	269	211	42	96.95134	Performance
5	1	3	1	1	8	1942	269	36	42	93.300514	of
5	1	3	1	1	9	1982	270	202	30	92.773453	NIKKEI225
5	1	4	1	1	1	497	295	74	27	34.116634	ASS
5	1	4	1	1	2	795	308	7	7	32.09301	더
5	1	4	1	2	1	504	299	82	38	35.893997	Yee
5	1	4	1	2	2	678	307	160	37	13.526573	Cee
5	1	4	1	2	3	854	307	135	49	0.0	RCNAUME
5	1	4	1	2	4	1054	319	102	36	0.0	[dex,
5	1	4	1	2	5	1170	320	123	30	88.317162	HSCEI
5	1	4	1	2	6	1303	319	102	36	92.140511	Index,
5	1	4	1	2	7	1420	320	141	30	86.742928	S&P500
5	1	4	1	2	8	1572	319	94	30	96.643082	Index
5	1	4	1	2	9	1679	319	61	30	96.727798	and
5	1	4	1	2	10	1753	319	48	30	96.443596	the
5	1	4	1	2	11	1814	320	114	30	92.852699	EURO
5	1	4	1	2	12	1942	320	139	30	92.29023	STOXX
5	1	4	1	2	13	2091	320	41	30	93.743904	50
5	1	4	1	2	14	2143	319	94	30	93.743904	Index
5	1	5	1	1	1	677	363	293	49	0.0	eieseencemmms
5	1	5	1	1	2	1043	359	6	57	32.80584	§
5	1	5	1	1	3	1055	369	85	30	50.178242	Fina]
5	1	5	1	1	4	1155	370	97	29	93.258949	Terms
5	1	5	1	1	5	1267	370	30	30	93.258949	&
5	1	5	1	1	6	1310	369	180	31	96.449287	Conditions
5	1	5	1	1	7	1504	379	31	20	96.743568	as
5	1	5	1	1	8	1549	369	35	42	96.743568	of
5	1	5	1	1	9	1587	369	90	41	96.749008	April
5	1	5	1	1	10	1690	370	48	35	93.699211	24,
5	1	5	1	1	11	1753	370	81	29	93.699211	2019
5	1	5	1	2	1	677	407	153	28	95.505875	Solutions
5	1	5	1	2	2	1055	420	192	40	93.257591	Proprietary
5	1	5	1	2	3	1260	420	30	30	93.257591	&
5	1	5	1	2	4	1304	419	203	41	96.435707	Confidential
5	1	6	1	1	1	503	454	1	46	95.0	 
5	1	7	1	1	1	324	200	1988	318	95.0	 
5	1	8	1	1	1	355	573	58	25	96.499283	ML
5	1	8	1	1	2	424	573	175	33	96.304817	Approvals:
5	1	8	1	1	3	864	572	64	27	96.900269	This
5	1	8	1	1	4	940	572	174	27	96.438469	Transaction
5	1	8	1	1	5	1125	572	116	27	96.620522	remains
5	1	8	1	1	6	1254	572	104	34	96.5392	subject
5	1	8	1	1	7	1369	576	26	23	96.963951	to
5	1	8	1	1	8	1408	572	103	27	96.477585	Merrill
5	1	8	1	1	9	1523	572	92	34	96.478828	Lynch
5	1	8	1	1	10	1626	572	84	27	96.101837	credit
5	1	8	1	1	11	1721	572	53	27	96.947708	and
5	1	8	1	1	12	1786	572	69	34	96.331116	legal
5	1	8	1	1	13	1867	572	152	34	96.727043	approvals.
5	1	9	1	1	1	355	2671	57	23	96.778046	This
5	1	9	1	1	2	429	2671	156	23	96.420265	information
5	1	9	1	1	3	601	2671	20	23	96.692352	is
5	1	9	1	1	4	635	2671	38	23	96.766106	for
5	1	9	1	1	5	684	2679	61	22	96.684753	your
5	1	9	1	1	6	757	2671	91	30	96.384521	private
5	1	9	1	1	7	862	2671	155	23	96.654762	information
5	1	9	1	1	8	1030	2671	47	23	96.417664	and
5	1	9	1	1	9	1090	2671	19	23	96.696617	is
5	1	9	1	1	10	1123	2671	38	23	96.741104	for
5	1	9	1	1	11	1173	2671	138	23	96.681206	discussion
5	1	9	1	1	12	1323	2679	117	22	96.627647	purposes
5	1	9	1	1	13	1453	2671	62	30	96.578209	only.
5	1	9	1	1	14	1541	2672	42	22	96.660393	We
5	1	9	1	1	15	1597	2679	38	15	96.731667	are
5	1	9	1	1	16	1648	2675	42	19	97.005356	not
5	1	9	1	1	17	1703	2671	122	30	96.486412	soliciting
5	1	9	1	1	18	1838	2679	47	22	96.563599	any
5	1	9	1	1	19	1898	2671	79	23	96.313324	action
5	1	9	1	1	20	1990	2671	75	23	96.958618	based
