level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	75	300	635	2	95.0	 
5	1	2	1	1	1	73	299	6	3060	95.0	 
5	1	3	1	1	1	99	1141	70	39	96.785645	Day
5	1	3	1	1	2	183	1141	109	31	96.742813	Count
5	1	3	1	1	3	307	1141	144	31	96.399323	Fraction
5	1	4	1	1	1	99	1230	141	39	96.154976	Floating
5	1	4	1	1	2	255	1230	143	31	96.602562	Amount
5	1	4	1	1	3	414	1230	145	39	96.308914	Payable
5	1	4	1	1	4	576	1230	40	39	96.747131	by
5	1	4	1	2	1	98	1279	237	39	96.581619	Counterparty
5	1	5	1	1	1	99	1366	105	31	96.703346	Reset
5	1	5	1	1	2	219	1366	83	30	96.063492	Date
5	1	6	1	1	1	99	1447	141	39	96.58831	Floating
5	1	6	1	1	2	255	1447	143	31	95.876152	Amount
5	1	6	1	1	3	414	1447	160	39	96.611526	Payment
5	1	6	1	2	1	99	1495	103	31	96.953278	Dates
5	1	7	1	1	1	98	1672	200	31	96.134125	Calculation
5	1	7	1	1	2	316	1672	114	31	96.134125	Period
5	1	8	1	1	1	98	2812	110	31	96.063339	Other
5	1	8	1	1	2	219	2812	122	31	96.767944	Terms
5	1	8	1	2	1	98	2893	200	31	96.557617	Calculation
5	1	8	1	2	2	313	2893	108	39	96.68502	Agent
5	1	8	1	3	1	99	2978	189	31	96.22567	Definitions
5	1	9	1	1	1	99	3107	156	31	96.373665	Potential
5	1	9	1	1	2	269	3107	208	39	96.00206	Adjustment
5	1	9	1	1	3	492	3107	123	31	96.617989	Events
5	1	9	1	2	1	98	3155	64	30	96.302429	and
5	1	9	1	2	2	180	3155	243	39	96.605064	Extraordinary
5	1	9	1	2	3	439	3155	122	31	96.77549	Events
5	1	10	1	1	1	682	2862	11	217	95.0	 
5	1	11	1	1	1	1560	300	663	2	95.0	 
5	1	12	1	1	1	710	374	850	4	95.0	 
5	1	13	1	1	1	710	448	850	4	95.0	 
5	1	14	1	1	1	710	521	850	4	95.0	 
5	1	15	1	1	1	710	594	850	4	95.0	 
5	1	16	1	1	1	710	668	850	4	95.0	 
5	1	17	1	1	1	710	741	850	4	95.0	 
5	1	18	1	1	1	710	814	850	4	95.0	 
5	1	19	1	1	1	710	888	850	4	95.0	 
5	1	20	1	1	1	710	961	850	4	95.0	 
5	1	21	1	1	1	710	1034	850	4	95.0	 
5	1	22	1	1	1	892	324	20	30	96.271469	2
5	1	22	1	1	2	1230	324	191	31	96.45047	21-Nov-19
5	1	22	1	2	1	893	397	19	31	96.679169	3
5	1	22	1	2	2	1231	397	189	31	91.908394	20-Feb-20
5	1	22	1	3	1	892	471	20	30	96.847633	4
5	1	22	1	3	2	1227	471	196	39	96.172089	21-May-20
5	1	22	1	4	1	893	545	19	30	96.392815	5
5	1	22	1	4	2	1230	544	191	39	96.757286	20-Aug-20
5	1	22	1	5	1	893	617	19	31	96.714378	6
5	1	22	1	5	2	1234	617	187	31	96.27346	19-Nov-20
5	1	22	1	6	1	893	692	19	29	94.422981	7
5	1	22	1	6	2	1235	691	179	31	90.568275	19-Feb-21
5	1	22	1	7	1	893	764	19	31	96.704468	8
5	1	22	1	7	2	1227	764	190	39	96.490685	20-May-21
5	1	22	1	8	1	893	837	19	31	96.205101	9
5	1	22	1	8	2	1234	837	181	39	96.60704	19-Aug-21
5	1	22	1	9	1	884	911	39	31	96.927925	10
5	1	22	1	9	2	1234	911	181	31	96.566956	19-Nov-21
5	1	22	1	10	1	884	984	33	30	96.340752	11
