level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	1	1	633	24	72	14	94.583481	Standard
5	1	1	1	1	2	710	24	78	14	96.266739	Chartered
5	1	1	1	2	1	677	43	27	15	24.561567	590
5	1	1	1	2	2	709	43	18	15	91.886108	재
5	1	1	1	2	3	731	42	16	16	35.61829	월
5	1	1	1	2	4	752	42	36	17	38.214478	은행
5	1	1	1	2	5	796	55	13	8	89.877914	&
5	1	2	1	1	1	133	94	63	19	93.976845	KRW
5	1	2	1	1	2	206	94	75	20	94.860451	Cross
5	1	2	1	1	3	291	94	118	25	96.331741	Currency
5	1	2	1	1	4	419	94	69	25	95.567657	Swap
5	1	2	1	1	5	503	94	8	19	95.567657	1
5	1	3	1	1	1	70	137	98	17	96.180199	Preliminary
5	1	3	1	1	2	174	137	112	14	96.549179	Confirmation
5	1	4	1	1	1	54	50	278	5	95.0	 
5	1	5	1	1	1	60	159	768	1	95.0	 
5	1	6	1	1	1	64	187	31	12	83.931511	Date
5	1	6	1	1	2	139	190	17	11	30.903221	26
5	1	6	1	1	3	161	190	28	14	96.776054	May
5	1	6	1	1	4	194	190	32	11	89.172432	2024
5	1	6	1	1	5	469	177	37	32	94.526184	From
5	1	6	1	1	6	563	187	85	14	33.836704	Seonwoong
5	1	6	1	1	7	654	187	31	11	96.891609	Ham
5	1	6	1	2	1	63	210	18	12	96.964767	To
5	1	6	1	2	2	140	210	31	12	95.150185	KDB
5	1	6	1	2	3	177	210	98	12	93.68187	Infrastructure
5	1	6	1	2	4	280	210	87	12	91.294785	Investments
5	1	6	1	2	5	372	210	41	12	96.748787	Asset
5	1	6	1	2	6	563	210	64	12	96.987457	Standard
5	1	6	1	2	7	633	210	70	12	96.301369	Chartered
5	1	6	1	2	8	709	210	36	12	96.444199	Bank
5	1	6	1	2	9	751	210	41	12	96.958519	Korea
5	1	6	1	2	10	798	210	22	12	96.737305	Ltd
5	1	6	1	3	1	140	228	92	14	93.066917	Management
5	1	6	1	3	2	237	228	27	13	73.936089	Co.,
5	1	6	1	3	3	270	228	26	11	96.470703	Ltd.
5	1	6	1	4	1	469	245	21	12	93.440536	Tel
5	1	6	1	4	2	496	245	22	12	89.50293	No.
5	1	6	1	5	1	64	269	24	12	96.302063	Fax
5	1	6	1	5	2	94	269	23	12	96.302063	No.
5	1	6	1	5	3	469	269	25	12	95.255882	Fax
5	1	6	1	5	4	500	269	22	12	95.255882	No.
5	1	7	1	1	1	63	304	55	12	91.493484	Subject
5	1	7	1	1	2	132	300	81	30	94.72686	Preliminary
5	1	7	1	1	3	218	304	45	12	96.808182	Terms
5	1	7	1	1	4	269	304	25	12	96.877579	and
5	1	7	1	1	5	300	304	78	12	96.757278	Conditions
5	1	7	1	1	6	383	304	20	12	93.300789	for
5	1	7	1	1	7	408	304	72	12	92.461891	USD/KRW
5	1	7	1	1	8	485	304	42	12	94.665512	Cross
5	1	7	1	1	9	532	300	66	30	87.11161	Currency
